Anio,Idddr,Idmunicipio,Nommunicipio,Idciclo,Idmodalidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,PMR,Valorproduccion
2024,139,48,Puerto Peñasco,3,1,6650000,Espárrago,25.0,25.0,0.0,277.5,11.1,40421.62,11216999.55
2024,139,48,Puerto Peñasco,3,1,6650000,Espárrago,415.0,415.0,0.0,4648.0,11.2,41712.5,193879700.0
2024,139,70,General Plutarco Elías Calles,1,1,5490000,Avena forrajera en verde,15.0,15.0,0.0,330.0,22.0,836.67,276101.1
2024,139,70,General Plutarco Elías Calles,1,1,9050000,Trigo grano,45.0,45.0,0.0,270.0,6.0,7306.1,1972647.0
2024,139,70,General Plutarco Elías Calles,1,1,15050000,Pastos y praderas,60.0,60.0,0.0,1350.0,22.5,915.0,1235250.0
2024,139,70,General Plutarco Elías Calles,2,1,5190000,Algodón hueso,32.0,32.0,0.0,144.96,4.53,11500.0,1667040.0
2024,139,70,General Plutarco Elías Calles,2,1,8790000,Sorgo forrajero en verde,10.0,10.0,0.0,230.0,23.0,850.0,195500.0
2024,139,70,General Plutarco Elías Calles,3,1,5160000,Alfalfa,610.0,610.0,0.0,58560.0,19.2,3108.61,36408040.32
2024,139,70,General Plutarco Elías Calles,3,1,6650000,Espárrago,934.0,934.0,0.0,10741.0,11.5,41700.0,447899700.0
2024,139,17,Caborca,1,1,5490000,Avena forrajera en verde,65.0,65.0,0.0,1385.15,21.31,840.51,1164232.43
2024,139,17,Caborca,1,1,5900000,Cebada forrajera en verde,20.0,20.0,0.0,450.0,22.5,915.0,411750.0
2024,139,17,Caborca,1,1,5940000,Cebolla,7.0,7.0,0.0,245.0,35.0,6000.0,1470000.0
2024,139,17,Caborca,1,1,6120000,Chile verde,20.0,20.0,0.0,1900.0,95.0,12500.0,23750000.0
2024,139,17,Caborca,1,1,6320000,Col de bruselas,30.0,30.0,0.0,750.0,25.0,10600.0,7950000.0
2024,139,17,Caborca,1,1,9050000,Trigo grano,410.0,410.0,0.0,2460.0,6.0,7235.1,17798346.0
2024,139,17,Caborca,1,1,15050000,Pastos y praderas,220.0,220.0,0.0,5099.6,23.18,910.0,4640636.0
2024,139,17,Caborca,2,1,5760000,Calabaza,15.0,15.0,0.0,315.0,21.0,10320.0,3250800.0
2024,139,17,Caborca,2,1,6120000,Chile verde,2.0,2.0,0.0,50.0,25.0,9090.0,454500.0
2024,139,17,Caborca,2,1,6120000,Chile verde,20.0,20.0,0.0,2040.0,102.0,13500.0,27540000.0
2024,139,17,Caborca,2,1,7670000,Melón,148.0,148.0,0.0,5049.76,34.12,7500.0,37873200.0
2024,139,17,Caborca,2,1,8100000,Papa,1765.0,1765.0,0.0,79354.4,44.96,8350.0,662609240.0
2024,139,17,Caborca,2,1,8210000,Pepino,10.0,10.0,0.0,1430.0,143.0,8376.73,11978723.9
2024,139,17,Caborca,2,1,8710000,Sandía,10.0,10.0,0.0,485.0,48.5,5500.0,2667500.0
2024,139,17,Caborca,2,1,8790000,Sorgo forrajero en verde,45.0,45.0,0.0,1049.85,23.33,853.0,895522.05
2024,139,17,Caborca,2,1,8980000,Tomate verde,8.0,8.0,0.0,158.0,19.75,6700.0,1058600.0
2024,139,17,Caborca,3,1,5000000,Aceituna,2061.0,2061.0,0.0,18404.73,8.93,15200.0,279751896.0
2024,139,17,Caborca,3,1,5160000,Alfalfa,520.0,520.0,0.0,49192.0,18.92,3097.03,30469819.95
2024,139,17,Caborca,3,1,6020000,Chabacano,24.0,24.0,0.0,150.0,6.25,12800.0,1920000.0
2024,139,17,Caborca,3,1,6490000,Dátil,12.0,12.0,0.0,98.4,8.2,67500.0,6642000.0
2024,139,17,Caborca,3,1,6530000,Durazno,122.0,122.0,0.0,1679.94,13.77,9390.77,15775930.15
2024,139,17,Caborca,3,1,6650000,Espárrago,435.0,435.0,0.0,4437.0,10.2,40500.0,179698500.0
2024,139,17,Caborca,3,1,6650000,Espárrago,8400.0,8400.0,0.0,79968.0,9.52,43400.0,3470611200.0
2024,139,17,Caborca,3,1,7150000,Higo,30.0,30.0,0.0,225.0,7.5,42648.89,9596000.25
2024,139,17,Caborca,3,1,7850000,Naranja,93.0,93.0,0.0,2024.61,21.77,7500.0,15184575.0
2024,139,17,Caborca,3,1,7960000,Nuez,563.0,563.0,0.0,1002.14,1.78,90180.92,90373907.17
2024,139,17,Caborca,3,1,9130000,Uva,4194.0,4194.0,0.0,77505.12,18.48,33188.44,2572274025.0
2024,139,17,Caborca,3,1,9130000,Uva,15.0,15.0,0.0,274.95,18.33,4009.09,1102299.3
2024,139,17,Caborca,3,1,9130000,Uva,3547.0,3547.0,0.0,18444.4,5.2,16364.13,301826559.4
2024,139,17,Caborca,3,1,15050000,Pastos y praderas,145.0,145.0,0.0,2668.0,18.4,980.0,2614640.0
2024,139,47,Pitiquito,1,1,5490000,Avena forrajera en verde,25.0,25.0,0.0,560.0,22.4,853.39,477898.4
2024,139,47,Pitiquito,1,1,9050000,Trigo grano,25.0,25.0,0.0,147.5,5.9,7292.48,1075640.8
2024,139,47,Pitiquito,1,1,15050000,Pastos y praderas,28.0,28.0,0.0,630.0,22.5,920.0,579600.0
2024,139,47,Pitiquito,2,1,6320000,Col de bruselas,30.0,30.0,0.0,450.0,15.0,11850.0,5332500.0
2024,139,47,Pitiquito,2,1,8100000,Papa,250.0,250.0,0.0,11052.5,44.21,8350.0,92288375.0
2024,139,47,Pitiquito,2,1,8790000,Sorgo forrajero en verde,8.0,8.0,0.0,180.0,22.5,855.0,153900.0
2024,139,47,Pitiquito,3,1,5000000,Aceituna,12.0,12.0,0.0,95.04,7.92,16000.0,1520640.0
2024,139,47,Pitiquito,3,1,5160000,Alfalfa,230.0,230.0,0.0,21654.5,18.83,3037.93,13156971.04
2024,139,47,Pitiquito,3,1,6020000,Chabacano,8.0,8.0,0.0,45.04,5.63,12500.0,563000.0
2024,139,47,Pitiquito,3,1,6650000,Espárrago,103.0,103.0,0.0,1071.2,10.4,40200.0,43062240.0
2024,139,47,Pitiquito,3,1,6650000,Espárrago,886.0,886.0,0.0,9480.2,10.7,42300.0,401012460.0
2024,139,47,Pitiquito,3,1,7960000,Nuez,60.0,20.0,0.0,34.0,1.7,90520.83,3077708.22
2024,139,47,Pitiquito,3,1,7960000,Nuez,89.0,89.0,0.0,151.3,1.7,91346.4,13820710.32
2024,139,47,Pitiquito,3,1,9130000,Uva,60.0,60.0,0.0,1099.8,18.33,33705.75,37069583.85
2024,139,4,Altar,1,1,5490000,Avena forrajera en verde,50.0,50.0,0.0,1050.0,21.0,822.5,863625.0
2024,139,4,Altar,1,1,5900000,Cebada forrajera en verde,30.0,30.0,0.0,680.1,22.67,820.0,557682.0
2024,139,4,Altar,1,1,5940000,Cebolla,6.0,6.0,0.0,210.0,35.0,6100.0,1281000.0
2024,139,4,Altar,1,1,6320000,Col de bruselas,65.0,65.0,0.0,1040.0,16.0,11661.54,12128001.6
2024,139,4,Altar,1,1,9050000,Trigo grano,80.0,80.0,0.0,480.0,6.0,7213.06,3462268.8
