Nombre variable,Tipo de dato,Formato,Unidad de medida,Descripción,Indicación de obligatoriedad,Catálogo de referencia,Identificador de valures nulos,Ejemplo de dato
ANO,Texto,AAAA,,Año del registro de cultivo.,,,,
CIERREYAVAN,Numérico,,CIERRE DE PRODUCCION AGRICOLA AAAA ; AVANCE DE PRODUCCION AGRICOLA AAAA,Indica si el registro del cultivo se trata de un dato de cierre o de avance de producción del año AAAA.,,,,
CICLO,Numérico,Int,1.Otoño-invierno;  2.Primavera-verano; 3.Perennes,Contiene información sobre el ciclo de producción del cultivo registrado.,,,,
CDDR,Texto,Int,CCC,Clave numérica del Distrito de Desarrollo Rural (DDR) donde se registra el cultivo.,,,,
NDDR,Numérico,,,Descripción del Distrito de Desarrollo Rural (DDR) en que se registra el cultivo.,,,,
CMUN,Texto,Int,CC,Clave numérica del municipio donde se registra el cultivo.,,,,
NMUN,Numérico,,,Nombre del municipio en que se registra el cultivo.,,,,
CVMES,Texto,Int,CC,Clave numérica del mes en que se registra el cultivo.,,,,
NMES,Numérico,,,Nombre del mes en que se registra el cultivo.,,,,
CVECUL,Texto,Int,,Clave identificadora del cultivo.,,,,
CULTIVO,Numérico,,,Nombre del cultivo.,,,,
CVEVAR,Texto,Int,,Clave identificadora de la variedad del cultivo.,,,,
DESVAR,Numérico,,,Nombre de la variedad del cultivo.,,,,
SUPSEM,Numérico,Float,Hectáreas,Cantidad de hectáreas sembradas.,,,,
SUPCOSE,Numérico,Float,Hectáreas,Cantidad de hectáreas cosechadas.,,,,
SUPSINI,Numérico,Float,Hectáreas,Cantidad de hectáreas siniestradas.,,,,
PRODTON,Numérico,Float,Toneladas,Producción total obtenida.,,,,
RENDMNTO,Numérico,Float,Toneladas/hectáreas,Contiene información sobre el rendimiento: producción obtenida por hectárea sembrada.,,,,
PMR,Numérico,Float,Pesos por tonelada,Precio Medio Rural (PMR) tiene la información del precio medio del cultivo. Se calcula como un cociente entre el valor de producción total y la producción en toneladas obtenida.,,,,
VALPROD,,Float,Miles de pesos MXN,Valor Total Producido por cultivo.,,,,
