Titular,Título,Uso,Autoridad que emite el acto,Fecha de registro,Volumen de extracción de aguas nacionales,Número de anexos de aguas superficiales,Volumen de aguas superficiales (m3/año),Número de anexos de aguas subterráneas,Volumen de aguas subterráneas (m3/año)
"ASOCIACION DE USUARIOS DEL DISTRITO DE RIEGO N° 051 COSTA DE HERMOSILLO  A.C.","02SON405101/09ATOC12","AGRICOLA","DIRECCIÓN GENERAL DEL ORGANISMO DE CUENCA NOROESTE","14/02/2013","320 773 130.00","0","0.00","450","320 773 130.00"
"UNIÓN DE USUARIOS PRODUCTORES AGRÍCOLAS UNIDAD DE RIEGO NO. 2 DE LA ZONA FUERTE MAYO A.C.","03SIN407609/10ATGC24","AGRICOLA","GERENCIA DE SERVICIOS A USUARIOS","06/12/2001","62 000 000.00","1","62 000 000.00","0","0.00"
"AUPA EL DORADO DE LA SECCION DE RIEGO COMPRENDIDA DEL KM. 63+000 AL PUNTO FINAL DEL CANAL PRINCIPAL ORIENTAL  Y CANAL PRINCIPAL EL DORADO   III-2  DEL DISTRITO DE RIEGO N° 010 CULIACAN-HUMAYA-SAN LORENZO  A.C.","03SIN410902/10ATGC00","AGRICOLA","GERENCIA DE SERVICIOS A USUARIOS","06/11/2000","101 124 000.00","1","93 500 000.00","110","7 624 000.00"
"ASOCIACIÓN DE USUARIOS DEL MÓDULO DE RIEGO PRESA CUAUHTEMOC DEL DISTRITO DE RIEGO NO. 037 ALTAR-PITIQUITO-CABORCA  A.C.","02SON403702/08ATGC00","AGRICOLA","GERENCIA DE SERVICIOS A USUARIOS","23/10/2000","16 386 000.00","1","16 386 000.00","0","0.00"
"ASOCIACIÓN DE USUARIOS PRODUCTORES AGRÍCOLAS DEL MÓDULO DE RIEGO NÚMERO 01  DEL CANAL PRINCIPAL ALTO  DEL DISTRITO DE RIEGO NO. 041 RÍO YAQUI  A.C.","02SON404101/09ATGC00","AGRICOLA","GERENCIA DE SERVICIOS A USUARIOS","09/06/2000","78 329 000.00","1","67 758 000.00","120","10 571 000.00"
"ASOCIACIÓN DE USUARIOS PRODUCTORES AGRÍCOLAS DEL MÓDULO DE RIEGO NÚMERO 02  DEL CANAL PRINCIPAL ALTO  DEL DISTRITO DE RIEGO NO. 041  RÍO YAQUI  A.C.","02SON404102/09ATGC00","AGRICOLA","GERENCIA DE SERVICIOS A USUARIOS","09/06/2000","88 315 000.00","1","76 397 000.00","120","11 918 000.00"
"ASOCIACIÓN DE USUARIOS PRODUCTORES AGRÍCOLAS DEL  MÓDULO DE RIEGO 06   A.C.","02SON404103/09ATGC00","AGRICOLA","GERENCIA DE SERVICIOS A USUARIOS","09/06/2000","103 113 000.00","1","89 198 000.00","120","13 915 000.00"
"ASOCIACIÓN DE USUARIOS PRODUCTORES AGRÍCOLAS DEL MÓDULO DE RIEGO  NÚMERO 10  A.C.","02SON404134/09ATGC00","AGRICOLA","GERENCIA DE SERVICIOS A USUARIOS","09/06/2000","91 889 000.00","1","79 488 000.00","120","12 401 000.00"
"ASOCIACIÓN DE USUARIOS PRODUCTORES AGRÍCOLAS DEL  MÓDULO DE RIEGO NÚMERO 11   A.C.","02SON404136/09ATGC00","AGRICOLA","GERENCIA DE SERVICIOS A USUARIOS","09/06/2000","112 654 000.00","1","97 451 000.00","120","15 203 000.00"
"USUARIOS DEL MODULO N° 1  MARGEN IZQUIERDA DEL RIO COLORADO  A. C.","01BCA401401/07ATGC00","AGRICOLA","GERENCIA DE SERVICIOS A USUARIOS","18/05/2000","110 680 987.50","1","84 763 000.00","425","25 917 987.50"
"USUARIOS DEL MODULO N° 2  MARGEN IZQUIERDA DEL RIO COLORADO  A. C.","01BCA401402/07ATGC00","AGRICOLA","GERENCIA DE SERVICIOS A USUARIOS","18/05/2000","57 084 465.50","1","43 717 000.00","425","13 367 465.50"
"USUARIOS DEL MODULO N° 3  MARGEN IZQUIERDA DEL RIO COLORADO  A. C.","01BCA401403/07ATGC00","AGRICOLA","GERENCIA DE SERVICIOS A USUARIOS","18/05/2000","98 502 144.00","1","75 436 000.00","425","23 066 144.00"
"UNION DE USUARIOS PRODUCTORES AGRÍCOLAS DE  UNIDAD DE RIEGO PARA EL DESARROLLO RURAL DE LA SECCIÓN NO. 1 DEL DISTRITO DE RIEGO NO. 38  A.C.","02SON403801/09ATGC00","AGRICOLA","GERENCIA DE SERVICIOS A USUARIOS","24/04/2000","59 792 000.00","1","56 452 000.00","34","3 340 000.00"
