,Anio,Idestado,Nomestado,Idddr,Nomddr,Idcader,Nomcader,Idmunicipio,Nommunicipio,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion
28376,2005,26,Sonora,139,Caborca,1,Sonoyta,55,San Luis Río Colorado,1,Otoño-Invierno,1,Riego,200201,Tonelada,5370000,Apio,26.0,26.0,0.0,988.0,38.0,10500.0,10374000.0
28377,2005,26,Sonora,139,Caborca,1,Sonoyta,55,San Luis Río Colorado,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,15.0,15.0,0.0,180.0,12.0,700.0,126000.0
28378,2005,26,Sonora,139,Caborca,1,Sonoyta,55,San Luis Río Colorado,1,Otoño-Invierno,1,Riego,200201,Tonelada,5640000,Betabel,55.0,55.0,0.0,770.0,14.0,8500.0,6545000.0
28379,2005,26,Sonora,139,Caborca,1,Sonoyta,55,San Luis Río Colorado,1,Otoño-Invierno,1,Riego,200201,Tonelada,5670000,Brócoli,225.0,225.0,0.0,1800.0,8.0,11800.0,21240000.0
28380,2005,26,Sonora,139,Caborca,1,Sonoyta,55,San Luis Río Colorado,1,Otoño-Invierno,1,Riego,200201,Tonelada,5870000,Cártamo,522.0,519.0,3.0,986.0,1.9,2360.0,2326960.0
28381,2005,26,Sonora,139,Caborca,1,Sonoyta,55,San Luis Río Colorado,1,Otoño-Invierno,1,Riego,200201,Tonelada,5900000,Cebada forrajera en verde,10.0,10.0,0.0,160.0,16.0,600.0,96000.0
28382,2005,26,Sonora,139,Caborca,1,Sonoyta,55,San Luis Río Colorado,1,Otoño-Invierno,1,Riego,200201,Tonelada,5940000,Cebolla,1369.0,1315.0,54.0,17297.0,13.15,10778.68,186438800.0
28383,2005,26,Sonora,139,Caborca,1,Sonoyta,55,San Luis Río Colorado,1,Otoño-Invierno,1,Riego,200201,Tonelada,6190000,Cilantro,202.0,202.0,0.0,1717.0,8.5,8000.0,13736000.0
28384,2005,26,Sonora,139,Caborca,1,Sonoyta,55,San Luis Río Colorado,1,Otoño-Invierno,1,Riego,200201,Tonelada,6310000,Col (repollo),180.0,180.0,0.0,9360.0,52.0,3600.0,33696000.0
28385,2005,26,Sonora,139,Caborca,1,Sonoyta,55,San Luis Río Colorado,1,Otoño-Invierno,1,Riego,200201,Tonelada,6330000,Coliflor,20.0,1.0,19.0,30.0,30.0,8500.0,255000.0
28386,2005,26,Sonora,139,Caborca,1,Sonoyta,55,San Luis Río Colorado,1,Otoño-Invierno,1,Riego,200201,Tonelada,6670000,Espinaca,90.0,90.0,0.0,540.0,6.0,6000.0,3240000.0
28387,2005,26,Sonora,139,Caborca,1,Sonoyta,55,San Luis Río Colorado,1,Otoño-Invierno,1,Riego,200201,Tonelada,7270000,Kale,20.0,20.0,0.0,440.0,22.0,8600.0,3784000.0
28388,2005,26,Sonora,139,Caborca,1,Sonoyta,55,San Luis Río Colorado,1,Otoño-Invierno,1,Riego,200201,Tonelada,7330000,Lechuga,117.0,112.0,5.0,2688.0,24.0,12000.0,32256000.0
28389,2005,26,Sonora,139,Caborca,1,Sonoyta,55,San Luis Río Colorado,1,Otoño-Invierno,1,Riego,200201,Tonelada,8240000,Perejil,75.0,75.0,0.0,1185.0,15.8,8000.0,9480000.0
28390,2005,26,Sonora,139,Caborca,1,Sonoyta,55,San Luis Río Colorado,1,Otoño-Invierno,1,Riego,200201,Tonelada,8440000,Poro (leek),60.0,60.0,0.0,456.0,7.6,9000.0,4104000.0
28391,2005,26,Sonora,139,Caborca,1,Sonoyta,55,San Luis Río Colorado,1,Otoño-Invierno,1,Riego,200201,Tonelada,8490000,Rábano,122.0,122.0,0.0,1037.0,8.5,8000.0,8296000.0
28392,2005,26,Sonora,139,Caborca,1,Sonoyta,55,San Luis Río Colorado,1,Otoño-Invierno,1,Riego,200201,Tonelada,8520000,Rapini,38.0,38.0,0.0,167.0,4.39,11500.0,1920500.0
28393,2005,26,Sonora,139,Caborca,1,Sonoyta,55,San Luis Río Colorado,1,Otoño-Invierno,1,Riego,200201,Tonelada,9050000,Trigo grano,14155.0,14155.0,0.0,88774.0,6.27,1646.22,146141800.0
28394,2005,26,Sonora,139,Caborca,1,Sonoyta,55,San Luis Río Colorado,1,Otoño-Invierno,1,Riego,200201,Tonelada,9160000,Varios,7.0,7.0,0.0,42.0,6.0,2500.0,105000.0
28395,2005,26,Sonora,139,Caborca,1,Sonoyta,55,San Luis Río Colorado,1,Otoño-Invierno,1,Riego,200201,Tonelada,9270000,Zanahoria,63.0,63.0,0.0,1134.0,18.0,4500.0,5103000.0
28396,2005,26,Sonora,139,Caborca,1,Sonoyta,55,San Luis Río Colorado,1,Otoño-Invierno,1,Riego,200201,Tonelada,15050000,Pastos y praderas,20.0,20.0,0.0,180.0,9.0,750.0,135000.0
28397,2005,26,Sonora,139,Caborca,1,Sonoyta,55,San Luis Río Colorado,2,Primavera-Verano,1,Riego,200201,Tonelada,5190000,Algodón hueso,4576.0,4572.0,4.0,14630.0,3.2,3841.0,56193830.0
28398,2005,26,Sonora,139,Caborca,1,Sonoyta,55,San Luis Río Colorado,2,Primavera-Verano,1,Riego,200201,Tonelada,5740000,Calabacita,54.0,54.0,0.0,1296.0,24.0,7785.0,10089360.0
28399,2005,26,Sonora,139,Caborca,1,Sonoyta,55,San Luis Río Colorado,2,Primavera-Verano,1,Riego,200201,Tonelada,5940000,Cebolla,562.0,552.0,10.0,5520.0,10.0,12400.0,68448000.0
28400,2005,26,Sonora,139,Caborca,1,Sonoyta,55,San Luis Río Colorado,2,Primavera-Verano,1,Riego,200201,Tonelada,7490000,Maíz grano,227.0,227.0,0.0,1362.0,6.0,1681.0,2289522.0
28401,2005,26,Sonora,139,Caborca,1,Sonoyta,55,San Luis Río Colorado,2,Primavera-Verano,1,Riego,200201,Tonelada,7670000,Melón,83.0,83.0,0.0,1357.0,16.35,3500.0,4749500.0
