,Anio,Idestado,Nomestado,Idddr,Nomddr,Idcader,Nomcader,Idmunicipio,Nommunicipio,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo Sin Um,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion
22909,2020,26,Sonora,139,Caborca,1,Sonoyta,48,Puerto Peñasco,3,Perennes,1,Riego,200201,Tonelada,6650000,Espárrago,440.0,440.0,0.0,4750.0,10.8,25962.04,123319702.5
22910,2020,26,Sonora,139,Caborca,1,Sonoyta,70,General Plutarco Elías Calles,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,15.0,15.0,0.0,235.0,15.67,621.7,146099.5
22911,2020,26,Sonora,139,Caborca,1,Sonoyta,70,General Plutarco Elías Calles,1,Otoño-Invierno,1,Riego,200201,Tonelada,9050000,Trigo grano,800.0,800.0,0.0,4270.0,5.34,4656.91,19885005.7
22912,2020,26,Sonora,139,Caborca,1,Sonoyta,70,General Plutarco Elías Calles,2,Primavera-Verano,1,Riego,200201,Tonelada,5190000,Algodón hueso,275.0,275.0,0.0,1155.0,4.2,12496.58,14433549.9
22913,2020,26,Sonora,139,Caborca,1,Sonoyta,70,General Plutarco Elías Calles,2,Primavera-Verano,1,Riego,200201,Tonelada,8790000,Sorgo forrajero en verde,14.0,14.0,0.0,302.0,21.57,750.0,226500.0
22914,2020,26,Sonora,139,Caborca,1,Sonoyta,70,General Plutarco Elías Calles,3,Perennes,1,Riego,200201,Tonelada,5160000,Alfalfa achicalada,750.0,750.0,0.0,14485.0,19.31,2325.79,33689068.15
22915,2020,26,Sonora,139,Caborca,1,Sonoyta,70,General Plutarco Elías Calles,3,Perennes,1,Riego,200201,Tonelada,6650000,Espárrago,965.0,920.0,0.0,10050.0,10.92,35982.29,361622014.5
22916,2020,26,Sonora,139,Caborca,2,Caborca,17,Caborca,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,12.6,12.6,0.0,214.0,16.98,629.02,134610.28
22917,2020,26,Sonora,139,Caborca,2,Caborca,17,Caborca,1,Otoño-Invierno,1,Riego,200201,Tonelada,8100000,Papa,8.0,8.0,0.0,304.0,38.0,6300.0,1915200.0
22918,2020,26,Sonora,139,Caborca,2,Caborca,17,Caborca,1,Otoño-Invierno,1,Riego,200201,Tonelada,9050000,Trigo grano,600.0,600.0,0.0,3600.0,6.0,4567.92,16444512.0
22919,2020,26,Sonora,139,Caborca,2,Caborca,17,Caborca,2,Primavera-Verano,1,Riego,200201,Tonelada,6120000,Chile verde,10.0,10.0,0.0,225.0,22.5,8500.0,1912500.0
22920,2020,26,Sonora,139,Caborca,2,Caborca,17,Caborca,2,Primavera-Verano,1,Riego,200201,Tonelada,7670000,Melón,60.0,60.0,0.0,1990.0,33.17,6975.43,13881105.7
22921,2020,26,Sonora,139,Caborca,2,Caborca,17,Caborca,2,Primavera-Verano,1,Riego,200201,Tonelada,8100000,Papa,2500.0,2500.0,0.0,110000.0,44.0,7067.72,777449200.0
22922,2020,26,Sonora,139,Caborca,2,Caborca,17,Caborca,2,Primavera-Verano,1,Riego,200201,Tonelada,8710000,Sandía,15.0,15.0,0.0,685.0,45.67,3250.0,2226250.0
22923,2020,26,Sonora,139,Caborca,2,Caborca,17,Caborca,2,Primavera-Verano,1,Riego,200201,Tonelada,8790000,Sorgo forrajero en verde,75.0,75.0,0.0,1335.0,17.8,717.42,957755.7
22924,2020,26,Sonora,139,Caborca,2,Caborca,17,Caborca,3,Perennes,1,Riego,200201,Tonelada,5160000,Alfalfa achicalada,790.0,790.0,0.0,14860.0,18.81,2361.71,35095010.6
22925,2020,26,Sonora,139,Caborca,2,Caborca,17,Caborca,3,Perennes,1,Riego,200201,Tonelada,6530000,Durazno,122.0,122.0,0.0,1281.0,10.5,7375.02,9447400.62
22926,2020,26,Sonora,139,Caborca,2,Caborca,17,Caborca,3,Perennes,1,Riego,200201,Tonelada,6650000,Espárrago,8331.0,8225.0,0.0,88067.5,10.71,39072.19,3440990405.9
22927,2020,26,Sonora,139,Caborca,2,Caborca,17,Caborca,3,Perennes,1,Riego,200201,Tonelada,7850000,Naranja,45.0,45.0,0.0,475.5,10.57,4273.34,2031973.17
22928,2020,26,Sonora,139,Caborca,2,Caborca,17,Caborca,3,Perennes,1,Riego,200201,Tonelada,7960000,Nuez,563.0,563.0,0.0,950.0,1.69,86257.89,81944995.5
22929,2020,26,Sonora,139,Caborca,2,Caborca,17,Caborca,3,Perennes,1,Riego,200201,Tonelada,9130000,Uva,7756.0,7714.0,0.0,83384.0,10.81,26201.23,2184762990.7
22930,2020,26,Sonora,139,Caborca,2,Caborca,47,Pitiquito,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,10.0,10.0,0.0,164.0,16.4,624.15,102360.6
22931,2020,26,Sonora,139,Caborca,2,Caborca,47,Pitiquito,1,Otoño-Invierno,1,Riego,200201,Tonelada,9050000,Trigo grano,100.0,100.0,0.0,510.0,5.1,4575.49,2333499.9
22932,2020,26,Sonora,139,Caborca,2,Caborca,47,Pitiquito,2,Primavera-Verano,1,Riego,200201,Tonelada,8100000,Papa,100.0,100.0,0.0,4300.0,43.0,7100.0,30530000.0
