,Anio,Idestado,Nomestado,Idddr,Nomddr,Idcader,Nomcader,Idmunicipio,Nommunicipio,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Preciomediorural,Valorproduccion
23008,2021,26,Sonora,139,Caborca,1,Sonoyta,48,Puerto Peñasco,3,Perennes,1,Riego,200201,Tonelada,6650000,Espárrago,440,440.0,0.0,4737.0,10.77,30346.64,143752035.8
23009,2021,26,Sonora,139,Caborca,1,Sonoyta,70,General Plutarco Elías Calles,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,18,18.0,0.0,324.0,18.0,712.35,230801.4
23010,2021,26,Sonora,139,Caborca,1,Sonoyta,70,General Plutarco Elías Calles,1,Otoño-Invierno,1,Riego,200201,Tonelada,9050000,Trigo grano,226,226.0,0.0,1152.6,5.1,5790.0,6673554.0
23011,2021,26,Sonora,139,Caborca,1,Sonoyta,70,General Plutarco Elías Calles,2,Primavera-Verano,1,Riego,200201,Tonelada,5190000,Algodón hueso,90,90.0,0.0,351.0,3.9,15745.46,5526656.46
23012,2021,26,Sonora,139,Caborca,1,Sonoyta,70,General Plutarco Elías Calles,2,Primavera-Verano,1,Riego,200201,Tonelada,8790000,Sorgo forrajero en verde,15,15.0,0.0,340.05,22.67,766.18,260539.51
23013,2021,26,Sonora,139,Caborca,1,Sonoyta,70,General Plutarco Elías Calles,3,Perennes,1,Riego,200201,Tonelada,5160000,Alfalfa achicalada,750,750.0,0.0,14175.0,18.9,2820.16,39975768.0
23014,2021,26,Sonora,139,Caborca,1,Sonoyta,70,General Plutarco Elías Calles,3,Perennes,1,Riego,200201,Tonelada,6650000,Espárrago,934,927.0,0.0,10567.8,11.4,40376.68,426692678.9
23015,2021,26,Sonora,139,Caborca,2,Caborca,17,Caborca,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,30,30.0,0.0,525.0,17.5,695.9,365347.5
23016,2021,26,Sonora,139,Caborca,2,Caborca,17,Caborca,1,Otoño-Invierno,1,Riego,200201,Tonelada,5940000,Cebolla,18,18.0,0.0,509.94,28.33,4750.0,2422215.0
23017,2021,26,Sonora,139,Caborca,2,Caborca,17,Caborca,1,Otoño-Invierno,1,Riego,200201,Tonelada,7670000,Melón,30,30.0,0.0,990.0,33.0,7300.0,7227000.0
23018,2021,26,Sonora,139,Caborca,2,Caborca,17,Caborca,1,Otoño-Invierno,1,Riego,200201,Tonelada,9050000,Trigo grano,488,488.0,0.0,2488.8,5.1,5790.0,14410152.0
23019,2021,26,Sonora,139,Caborca,2,Caborca,17,Caborca,2,Primavera-Verano,1,Riego,200201,Tonelada,6610000,Elote,13.5,13.5,0.0,142.02,10.52,5100.0,724302.0
23020,2021,26,Sonora,139,Caborca,2,Caborca,17,Caborca,2,Primavera-Verano,1,Riego,200201,Tonelada,7490000,Maíz grano,6,6.0,0.0,40.02,6.67,6000.0,240120.0
23021,2021,26,Sonora,139,Caborca,2,Caborca,17,Caborca,2,Primavera-Verano,1,Riego,200201,Tonelada,7670000,Melón,125,125.0,0.0,4120.0,32.96,6960.56,28677507.2
23022,2021,26,Sonora,139,Caborca,2,Caborca,17,Caborca,2,Primavera-Verano,1,Riego,200201,Tonelada,8100000,Papa,1078,1078.0,0.0,45276.0,42.0,7300.0,330514800.0
23023,2021,26,Sonora,139,Caborca,2,Caborca,17,Caborca,2,Primavera-Verano,1,Riego,200201,Tonelada,8790000,Sorgo forrajero en verde,134,134.0,0.0,3300.42,24.63,763.05,2518385.48
23024,2021,26,Sonora,139,Caborca,2,Caborca,17,Caborca,3,Perennes,1,Riego,200201,Tonelada,5160000,Alfalfa achicalada,785,785.0,0.0,14805.1,18.86,2790.4,41312151.04
23025,2021,26,Sonora,139,Caborca,2,Caborca,17,Caborca,3,Perennes,1,Riego,200201,Tonelada,6530000,Durazno,122,122.0,0.0,1500.6,12.3,8135.0,12207381.0
23026,2021,26,Sonora,139,Caborca,2,Caborca,17,Caborca,3,Perennes,1,Riego,200201,Tonelada,6650000,Espárrago,8835,8435.0,0.0,91004.0,10.79,40060.97,3645708144.0
23027,2021,26,Sonora,139,Caborca,2,Caborca,17,Caborca,3,Perennes,1,Riego,200201,Tonelada,7850000,Naranja,93,45.0,0.0,845.1,18.78,4428.99,3742939.45
23028,2021,26,Sonora,139,Caborca,2,Caborca,17,Caborca,3,Perennes,1,Riego,200201,Tonelada,7960000,Nuez,563,563.0,0.0,951.47,1.69,93215.79,88692027.71
23029,2021,26,Sonora,139,Caborca,2,Caborca,17,Caborca,3,Perennes,1,Riego,200201,Tonelada,9130000,Uva,7756,7756.0,0.0,88522.83,11.41,26735.54,2366705371.0
23030,2021,26,Sonora,139,Caborca,2,Caborca,47,Pitiquito,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,10,10.0,0.0,175.0,17.5,700.0,122500.0
23031,2021,26,Sonora,139,Caborca,2,Caborca,47,Pitiquito,1,Otoño-Invierno,1,Riego,200201,Tonelada,9050000,Trigo grano,102,102.0,0.0,510.0,5.0,5790.0,2952900.0
23032,2021,26,Sonora,139,Caborca,2,Caborca,47,Pitiquito,2,Primavera-Verano,1,Riego,200201,Tonelada,8100000,Papa,130,130.0,0.0,5605.6,43.12,7378.07,41358509.19
23033,2021,26,Sonora,139,Caborca,2,Caborca,47,Pitiquito,2,Primavera-Verano,1,Riego,200201,Tonelada,8790000,Sorgo forrajero en verde,35,35.0,0.0,704.9,20.14,765.74,539770.13
23034,2021,26,Sonora,139,Caborca,2,Caborca,47,Pitiquito,3,Perennes,1,Riego,200201,Tonelada,5160000,Alfalfa achicalada,322,322.0,0.0,6050.38,18.79,2803.03,16959396.65
23035,2021,26,Sonora,139,Caborca,2,Caborca,47,Pitiquito,3,Perennes,1,Riego,200201,Tonelada,6650000,Espárrago,989,882.0,0.0,9626.87,10.91,38522.61,370852136.1
23036,2021,26,Sonora,139,Caborca,2,Caborca,47,Pitiquito,3,Perennes,1,Riego,200201,Tonelada,7960000,Nuez,149,109.0,0.0,179.85,1.65,93211.04,16764005.74
23037,2021,26,Sonora,139,Caborca,2,Caborca,47,Pitiquito,3,Perennes,1,Riego,200201,Tonelada,9130000,Uva,60,60.0,0.0,1050.0,17.5,28673.33,30106996.5
23038,2021,26,Sonora,139,Caborca,3,Atil,4,Altar,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,36,36.0,0.0,600.12,16.67,700.0,420084.0
23039,2021,26,Sonora,139,Caborca,3,Atil,4,Altar,1,Otoño-Invierno,1,Riego,200201,Tonelada,5870000,Cártamo,5,0.0,5.0,0.0,0.0,0.0,0.0
