Anio,Idestado,Nomestado,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion
2020,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5010000,Acelga,4.11,4.11,0,49.78,12.11,2428.11,120871.32
2020,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5370000,Apio,2,0,2,0,0,0,0
2020,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5640000,Betabel,4.48,4.48,0,58.71,13.1,3896.18,228744.73
2020,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5900000,Cebada forrajera en verde,55.27,55.27,0,1503.55,27.2,578.42,869683.39
2020,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6190000,Cilantro,163.97,163.97,0,2922.16,17.82,1599.4,4673702.7
2020,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6310000,Col (repollo),139.32,139.32,0,5571.62,39.99,892.73,4973952.32
2020,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6670000,Espinaca,38.47,38.47,0,722.12,18.77,5523.81,3988853.68
2020,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,8490000,Rábano,3.73,3.73,0,35.44,9.5,3313.94,117446.03
2020,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,9090000,Triticale forrajero en verde,1809.26,1809.26,0,55527.69,30.69,514.06,28544564.32
2020,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,15050000,Pastos y praderas,1297.91,1297.91,0,67480.02,51.99,583.06,39344900.46
2020,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5010000,Acelga,1.87,1.87,0,23.14,12.37,2504.17,57946.49
2020,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5640000,Betabel,1.49,1.49,0,29.45,19.77,2571.67,75735.68
2020,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5690000,Cacahuate,4.49,4.49,0,12.73,2.84,9750.43,124122.97
2020,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5790000,Camote,13.45,13.45,0,261.82,19.47,3100,811642
2020,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6070000,Chícharo,32.49,32.49,0,230.57,7.1,3624.8,835770.14
2020,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6190000,Cilantro,312.01,312.01,0,5776.38,18.51,3523.75,20354519.03
2020,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6310000,Col (repollo),117.21,117.21,0,4820.73,41.13,2906.7,14012415.89
2020,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6600000,Ejote,75.43,75.43,0,902.87,11.97,3680.85,3323329.04
2020,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6670000,Espinaca,70.23,70.23,0,1523,21.69,5424.44,8261422.12
2020,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,7270000,Kale,3.36,3.36,0,37.54,11.17,9200,345368
2020,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,8490000,Rábano,2.24,2.24,0,29.38,13.12,3285,96513.3
2020,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,9040000,Trigo forrajero verde,15.69,15.69,0,511.66,32.61,310,158614.6
2020,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,9090000,Triticale forrajero en verde,114.27,114.27,0,3623.36,31.71,577.07,2090932.36
2020,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,5690000,Cacahuate,5.59,5.59,0,5.03,0.9,10572.66,53180.48
2020,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,5000000,Aceituna,8.67,1.89,0,9.96,5.27,7022.63,69945.39
2020,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,7150000,Higo,2,0,0,0,0,0,0
2020,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,7380000,Lima,28.19,28.19,0,229.89,8.16,6995.8,1608264.46
2020,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,7690000,Membrillo,6.13,6.13,0,40.76,6.65,4966.56,202436.99
2020,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,8340000,Pitahaya,23.7,23.7,0,47.32,2,20085.53,950447.28
