Anio,Idestado,Nomestado,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Preciomediorural,Valorproduccion
2021,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5010000,Acelga,3.70,3.70,0.00,36.84,9.96,2478.69,91315.01
2021,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5370000,Apio,2.00,0.00,2.00,0.00,0.00,0.00,0.00
2021,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5640000,Betabel,3.83,3.83,0.00,50.95,13.30,4061.72,206944.39
2021,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5900000,Cebada forrajera en verde,57.27,57.27,0.00,1510.41,26.37,584.71,883153.90
2021,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6190000,Cilantro,173.32,173.32,0.00,2904.29,16.76,1556.98,4521921.68
2021,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6310000,Col (repollo),141.32,141.32,0.00,5592.25,39.57,898.38,5023975.03
2021,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6670000,Espinaca,39.49,39.49,0.00,721.62,18.27,5874.60,4239228.56
2021,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,8490000,Rábano,3.24,3.24,0.00,24.33,7.51,3370.43,82002.59
2021,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,9090000,Triticale forrajero en verde,1950.26,1950.26,0.00,59846.88,30.69,520.15,31129513.61
2021,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,15050000,Pastos y praderas,1250.91,1250.91,0.00,65726.63,52.54,580.31,38141712.60
2021,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5010000,Acelga,1.62,1.62,0.00,15.90,9.81,2534.75,40302.58
2021,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5640000,Betabel,1.50,1.50,0.00,29.83,19.89,2595.44,77421.86
