DDR,Most_Efficient_Crop,Max_Efficiency,Least_Efficient_Crop,Min_Efficiency
Agua Prieta,Hortalizas,0.016776813208226143,Frijol,0.00011382085323492738
Caborca,Pepino,0.014686802141838382,Nuez,0.0001148508261924931
Cajeme,Hortalizas,0.023157728090376813,Nuez,8.853827728685045e-05
Guaymas,Pepino,0.014562790626962174,Nuez,8.693330479966903e-05
Hermosillo,Tomate rojo (jitomate),0.01168574770858832,Cacahuate,0.00010889402121607042
Magdalena,Col (repollo),0.037481689896606024,Cereza,3.724293237483005e-05
Mazatán,Avena forrajera en verde,0.004836491745345063,Nuez,9.092350709661021e-05
Moctezuma,Trigo forrajero verde,0.007022623005396088,Nuez,0.00011479787741936968
Navojoa,Apio,0.012568797070991377,Cacahuate,7.002103126959667e-05
Sahuaripa,Avena forrajera en verde,0.007360128132650222,Nuez,0.00011968824916658492
San Luis Río Colorado,Rábano,0.012279096813853614,Algodón hueso,0.0002838982922791436
Ures,Hortalizas,0.02365984195422467,Nuez,0.00012001716509106032
