Municipio,Most_Efficient_Crop,Max_Efficiency,Least_Efficient_Crop,Min_Efficiency
Aconchi,Hortalizas,0.02752303159505955,Nuez,0.00011826781495867537
Agua Prieta,Avena forrajera en verde,0.0068580349433430875,Frijol,0.00011022281942733351
Alamos,Naranja,0.00154922709119461,Cacahuate,7.002103126959667e-05
Altar,Pepino,0.014504193606056084,Nuez,0.00011076236012420537
Arivechi,Avena forrajera en verde,0.007746029154533678,Nuez,0.000121586515616809
Arizpe,Avena forrajera en verde,0.01296022947758266,Nuez,0.00011417855412302756
Atil,Pepino,0.014793623864822561,Nuez,0.00010957555401081416
Bacadéhuachi,Cebada forrajera en verde,0.005503848158413526,Nuez,9.878019840374748e-05
Bacanora,Avena forrajera en verde,0.006415663608889174,Frijol,0.00014358753576049367
Bacerac,Trigo forrajero verde,0.008067211908554004,Nuez,0.00011911989555304578
Bacoachi,Avena forrajera en verde,0.006198490767530039,Frijol,0.00011316915186535093
Banámichi,Avena forrajera en verde,0.01225206500306027,Nuez,0.00012365355645215613
Bavispe,Trigo forrajero verde,0.0076387032546196875,Nuez,0.00010296314187949221
Baviácora,Avena forrajera en verde,0.010983401377120226,Nuez,0.0001192230988576882
Benito Juárez,Pepino,0.01972021594762107,Nuez,2.358972715052734e-05
Benjamín Hill,Avena forrajera en verde,0.007080101683184656,Nuez,0.00015033298184109243
Bácum,Hortalizas,0.021428716980697943,Nuez,8.808043153906481e-05
Caborca,Pepino,0.013727005759115365,Nuez,0.00010775155430310035
Cajeme,Pepino,0.014062545238490971,Nuez,7.967606306953984e-05
Cananea,Hortalizas,0.016776813208226143,Nuez,0.00014706302600817767
Carbó,Alfalfa achicalada,0.006690884311564975,Nuez,0.00013142650560885903
Cucurpe,Trigo forrajero verde,0.010098492015511249,Nuez,0.00011929064188846811
Cumpas,Trigo forrajero verde,0.006781523040739598,Nuez,8.718576680921558e-05
Divisaderos,Trigo forrajero verde,0.006419009936386415,Frijol,0.00014534311807218965
Empalme,Pepino,0.015100808740204738,Nuez,5.612549240410302e-05
Etchojoa,Pepino,0.017492824952681653,Higuerilla,0.00012797862303537145
Fronteras,Avena forrajera en verde,0.0066064652464702285,Frijol,0.00011812071928668046
General Plutarco Elías Calles,Alfalfa achicalada,0.006460456270882612,Algodón hueso,0.00022024875547909585
Granados,Avena forrajera en verde,0.005455240764617201,Frijol,0.0001480836302373704
Guaymas,Pepino,0.01402477251371961,Nuez,8.930313652240487e-05
Hermosillo,Pepino,0.012665191045845278,Cacahuate,0.00010889402121607042
Huachinera,Alfalfa achicalada,0.007210768771279655,Nuez,0.00013772113189750325
Huatabampo,Apio,0.012568797070991377,Higuerilla,8.798999945021507e-05
Huásabas,Avena forrajera en verde,0.0054683689727368714,Frijol,0.00015674967721787664
Huépac,Avena forrajera en verde,0.011780710342355543,Nuez,9.897690101246595e-05
Imuris,Col (repollo),0.04024796553579072,Frijol,0.00019991998101744524
La Colorada,Avena forrajera en verde,0.00441157401967836,Nuez,8.804322868936368e-05
