DDR,HHtotal_m3_ton,HHazul_m3_ton,frac_azul,deficit_hidrico_mm,Rend_t_ha,VolumenTotal_t,Valorproduccion,vol_agua,SupCosechadaTotal_ha,PMR,prod_economica_mxn_m3,RAV_L_mxn,tecnificacion_pct
Guaymas,1381.4538327650491,1282.9894759840683,0.9437387386309462,773.5273841531284,23.617963800904977,3944815.26,24196586007.3,1153112836.097546,141314.41,7589.444479638009,20.983710570066986,47.65601377606152,78.0
Caborca,1296.6577968191873,1208.2618380850486,0.9387409734762096,815.6802170416823,18.15069936421435,6151278.22,96965118733.2,4839263623.126563,478302.97,10085.604114441418,20.037163974661198,49.90726238825965,70.0
Hermosillo,1052.844708601596,975.8997037079678,0.9449612773154414,741.2521619474536,24.451149068322984,15110076.7,137039447490.18,9168375484.42469,1040488.13,8627.415458074534,14.946971546157082,66.90318482991314,47.0
San Luis Río Colorado,800.9732182627653,783.7415364317299,0.9758529295864996,773.059948088106,18.51891454965358,3958612.32,34135826861.61,2942911843.187632,374461.52,8410.036143187066,11.599337214476524,86.21182240929703,12.0
Magdalena,1088.185628904713,994.1323202270663,0.9311086298539948,696.00556630043,24.53541530412034,1966323.1,6641995652.32,724527355.6758022,105445.88,7237.170902550687,9.167349721563907,109.08278077880557,14.0
Cajeme,1877.107106326657,1665.0674859389733,0.9210214006179349,754.3080800714237,20.701003996003998,19069830.16,99030894411.9,16493043566.370565,2303904.77,8753.417387612388,6.004403857504184,166.54442701255343,8.0
Navojoa,2795.5784887512536,2289.989799149498,0.8997467663271156,734.873322811238,14.768632596685082,5392221.27,30608790406.46,5687142004.435989,857718.01,7055.3190745856355,5.382104118832454,185.80093917189603,13.0
Sahuaripa,2405.3385136923666,1885.318958961832,0.8406920785324725,530.0078676601433,14.895588235294118,626593.4,1013470374.01,210772456.43286332,29847.7,8986.425672268908,4.80836249271886,207.97100915629093,2.0
Ures,2101.308278087666,1872.8013690815092,0.9227804684478027,752.0283001718675,18.54590555887627,3893905.59,5731478849.25,1206563348.2248614,142078.3,9081.5022713688,4.750251081041335,210.51518813207306,12.0
Agua Prieta,1618.1788196386728,1447.2587367007054,0.9259124237489599,766.139629838733,14.81472857142857,1561359.58,2936984306.56,699666239.8588402,87752.72,8544.083628571429,4.1976933275393495,238.22607369609608,3.0
Mazatán,727.9841115470911,653.5861233380319,0.9257140046500075,738.6359297630689,21.944832451499117,506574.03,681653426.52,190116934.83886975,27862.5,2284.3482363315698,3.585442964866456,278.90556614592424,16.0
Moctezuma,1853.3542127400274,1604.0075555756482,0.9002621925217004,662.1659255506642,12.556804915514592,1095819.04,1576936559.93,543935746.6356215,75340.21,6545.300107526882,2.8991228645731533,344.9319144834633,7.0
